appid
379720
578080
637090
221100
8500
601150
477160
644930
774241
527230
567640
323370
393080
253250
597170
899440
767560
459220
42700
787480
785260
475150
12210
400
246900
704450
589360
372000
414340
413420
638970
641990
6060
799960
532210
102500
1038810
240
268050
955050
32470
614570
310950
397460
814740
573100
270150
20900
356190
410900
212500
799640
291650
599140
364470
466560
813820
285900
4700
738540
359870
653530
204360
476600
675010
341800
17390
1018020
380600
225540
8870
244450
206480
816020
1048950
755790
287700
389730
571740
418240
227940
2280
578620
678950
252690
454650
323190
230290
453480
288470
257350
339610
621060
365360
378540
712100
453090
727130
326460
289130
1066260
690790
601050
291480
582160
611790
383120
817130
367500
489630
387990
704270
325610
233450
382310
704850
960090
519860
261570
445980
560380
610180
410320
535930
352720
312660
373420
293760
513710
900270
448280
447040
334230
339600
690830
750920
431240
20920
22330
231430
218230
221680
311310
502500
726830
228280
695290
552520
880940
627690
376210
266410
450540
459820
202970
391540
601430
378860
39140
227300
392110
674940
699170
831980
774861
205100
244210
304050
666140
611660
311690
342180
266840
872790
637650
451340
1061090
24010
531510
10090
232090
817540
433340
216150
824270
48700
444200
418460
573090
939960
715560
877200
674020
10180
109600
250900
470220
105450
774461
310060
858810
736260
314160
361420
367520
569480
362960
268500
359320
200210
560130
620
457140
648350
284160
223750
1034900
751780
434170
761890
236430
214950
645630
524220
555160
550
601510
460950
262060
2600
228380
617830
905370
233860
883710
863550
489520
386180
47890
264710
431960
219990
848450
251570
269950
22380
464920
201810
548570
752590
304390
268910
236850
742120
555440
813630
211820
841370
844870
253230
646570
218620
239030
581320
548430
275850
492720
518790
480490
286160
794260
973760
444090
732690
301970
244850
1011940
8930
640820
221380
629730
648800
427520
364360
247080
4000
291550
611670
857980
552990
642090
460930
787860
322330
203770
440900
602960
508440
311210
612880
379430
9900
242760
493340
728880
403640
552500
976310
393380
105600
641320
220200
394360
812140
851100
386360
294100
413150
346110
335300
594650
921570
107410
582010
814380
314650
435150
632360
440
613100
1051200
620980
236390
381210
239140
261640
489940
255710
281990
270880
289070
570940
594570
686810
582660
489830
377160
252490
271590
230410
629760
292030
779340
252950
39210
49520
374320
359550
238960
570
306130
730
4500
429050
3590
219640
447820
382110
541210
354140
299740
293780
607890
431450
859580
250320
613830
931280
586950
551860
268130
748360
99910
440310
546050
630100
442120
848350
798510
468920
831560
505460
442070
420110
428690
243470
233610
365590
110800
286690
847370
327070
220240
503580
804850
420530
436670
552920
222880
718560
874240
764790
995050
770390
512900
365960
939510
844590
1018850
790850
205190
931500
1086850
335670
368500
750050
517160
31800
448510
591370
113400
429790
9420
1018010
644560
819020
42960
616560
3830
823130
585410
488790
7940
559650
